"title","description","test_type","priority","status","preconditions","step_1_action","step_1_expected","step_2_action","step_2_expected","step_3_action","step_3_expected","step_4_action","step_4_expected","step_5_action","step_5_expected","tags","suite_name"
"Search events by event name in real-time","Validate search events by event name in real-time","functional_web","high","ready","Admin is on Events List page; Events exist: 'Jakarta Networking Night', 'Bali Beach Meetup', 'Surabaya Tech Talk'","Locate search bar in Events List","Step completes as expected","Type 'Jakarta' in search bar","Step completes as expected","Observe real-time filtering","Step completes as expected","Clear and type 'beach' (lowercase)","Step completes as expected","Verify case-insensitive search","Search functions correctly:
- Real-time filtering across Event Name column
- Case-insensitive search
- Typing 'Jakarta' shows only 'Jakarta Networking Night'
- Typing 'beach' shows 'Bali Beach Meetup'
- No results shows 'No events found' empty state","cms, search, real-time-filter","CMS - Events List"
"Filter events by 'All' - default state","Validate filter events by 'all' - default state","functional_web","medium","ready","Admin is on Events List page; Events with various dates exist:; - 2 past events; - 1 event today; - 3 future events","Observe Events List on page load","Step completes as expected","Check 'All' filter chip state","Step completes as expected","View displayed events","'All' filter active by default:
- All events displayed regardless of date or status
- Shows past, today, and future events
- Shows both Posted and Draft status events
- Total count: 6 events
- Filter chip highlighted as selected","","","","","cms, filter, default-state","CMS - Events List"
"Filter events by 'Upcoming' to show future events","Validate filter events by 'upcoming' to show future events","functional_web","high","ready","Admin is on Events List page; Current date: December 19, 2024; Events exist:; - Event A: December 15, 2024 (past); - Event B: December 19, 2024 (today); - Event C: December 25, 2024 (future); - Event D: January 5, 2025 (future)","Click 'Upcoming' filter chip","Step completes as expected","Observe table filtering","Step completes as expected","Check displayed events","Upcoming filter displays correctly:
- Shows events dated today or in the future
- Event B (today), Event C, and Event D displayed
- Past events (Event A) hidden
- Total count: 3 events
- Filter chip highlighted as active","","","","","cms, filter, upcoming-events","CMS - Events List"
"Filter events by 'Past' to show expired events","Validate filter events by 'past' to show expired events","functional_web","high","ready","Admin is on Events List page; Current date: December 19, 2024; Events with various dates exist as in TC-EVENT-068","Click 'Past' filter chip","Step completes as expected","Observe table filtering","Step completes as expected","Check displayed events","Past filter displays correctly:
- Shows only events with dates before today
- Event A (December 15, 2024) displayed
- Today's event and future events hidden
- Total count: 1 event
- Filter chip highlighted as active","","","","","cms, filter, past-events","CMS - Events List"
"View event details in read-only preview mode","Validate view event details in read-only preview mode","functional_web","medium","ready","Admin is on Events List page; Event exists: 'Jakarta Networking Night'","Locate 'Jakarta Networking Night' in table","Step completes as expected","Click 'View' action button","Step completes as expected","Observe event preview display","Event preview opens:
- Read-only view of event as displayed in mobile app
- Shows all event details: images, title, date, time, location, description
- Cannot edit from this view
- Admin can review how event appears to users
- Close button to return to Events List","","","","","cms, view-event, preview-mode","CMS - Events List"
"Hide published event from mobile app visibility","Validate hide published event from mobile app visibility","functional_web","high","ready","Admin is on Events List page; Published event exists with status 'Posted'; Event is currently visible in mobile app","Locate posted event in table","Step completes as expected","Click 'Hide' action button","Step completes as expected","Confirm hide action in modal: 'Are you sure you want to hide this event?'","Step completes as expected","Observe result","Event hidden successfully:
- Confirmation modal displayed before hiding
- Event status remains 'Posted' in CMS
- Event becomes invisible in mobile app immediately
- Action button changes from 'Hide' to 'Show'
- Event still visible in CMS for management
- Can be re-shown later","","","cms, hide-event, visibility-control","CMS - Events List"
"Re-show previously hidden event in mobile app","Validate re-show previously hidden event in mobile app","functional_web","high","ready","Admin is on Events List page; Event was previously hidden; Action button shows 'Show'","Locate hidden event in table","Step completes as expected","Click 'Show' action button","Step completes as expected","Confirm show action","Step completes as expected","Observe result","Event re-shown successfully:
- Event becomes visible in mobile app again
- Users can now see and register for event
- Action button changes back to 'Hide'
- Event status remains 'Posted'
- Immediate visibility to mobile users","","","cms, show-event, visibility-control","CMS - Events List"
"Edit existing event and update successfully","Validate edit existing event and update successfully","functional_web","high","ready","Admin is on Event Details & Registrations page; Event exists: 'Jakarta Networking Night'; Original Max Registrations: 50; Original Time: '18:00 - 21:00'","Navigate to event edit tab","Step completes as expected","Change Time to '19:00 - 22:00'","Step completes as expected","Change Max Registrations to '60'","Step completes as expected","Update Event Description","Step completes as expected","Click 'Update Event' button","Step completes as expected","cms, edit-event, update-event","CMS - Event Registration Management"
"Verify cannot reduce max capacity below current registrations","Validate cannot reduce max capacity below current registrations","functional_web","high","ready","Admin is editing event; Current Max Registrations: 50; Current registered participants: 35","Navigate to event edit tab","Step completes as expected","Attempt to change Max Registrations to '30' (below current 35)","Step completes as expected","Click 'Update Event' button","Step completes as expected","Observe validation","Validation error prevents update:
- Error message: 'Cannot set capacity below current registrations (35)'
- Max Registrations field highlighted in red
- Update blocked until valid capacity entered
- Must be greater than or equal to 35
- Other valid edits not saved until this is corrected","","","cms, validation, negative, capacity-limit","CMS - Event Registration Management"
"View complete registration list for event","Validate view complete registration list for event","functional_web","high","ready","Admin is on Event Details & Registrations page; Event has 25 registrations and 5 waitlisted users","Navigate to Registration tab","Step completes as expected","Observe registration table","Step completes as expected","Check table columns and data","Registration table displays correctly:
- Columns: No, Order Code, Date Registered, Account ID, Name, Number, Email, Action
- All 25 registered participants listed
- Each entry shows complete registration details
- Search by name available
- Total count displayed: '25'
- Filter chips show 'Registered' and 'Waitlisted' options","","","","","cms, registration-list, attendee-management","CMS - Event Registration Management"
"Filter registrations by 'Registered' status","Validate filter registrations by 'registered' status","functional_web","high","ready","Admin views registration table; 25 registered users, 5 waitlisted users","Click 'Registered' filter chip","Step completes as expected","Observe table filtering","Step completes as expected","Check displayed records","Registered filter displays:
- Only users who have received tickets shown
- 25 registered participants displayed
- Waitlisted users hidden
- Total count: 25
- Each entry has valid ticket and QR code","","","","","cms, filter, registered-status","CMS - Event Registration Management"
"Filter registrations by 'Waitlisted' status","Validate filter registrations by 'waitlisted' status","functional_web","high","ready","Admin views registration table; 25 registered users, 5 waitlisted users","Click 'Waitlisted' filter chip","Step completes as expected","Observe table filtering","Step completes as expected","Check displayed records","Waitlisted filter displays:
- Only users on waitlist shown
- 5 waitlisted participants displayed
- Registered users hidden
- Total count: 5
- 'Accept' button visible for each waitlisted entry","","","","","cms, filter, waitlist-status","CMS - Event Registration Management"
"View attendee ticket details with QR code","Validate view attendee ticket details with qr code","functional_web","high","ready","Admin views registration table; Registered attendee: 'John Doe', Order Code: '12345'","Locate John Doe in registration table","Step completes as expected","Click 'View Ticket' in Action column","Step completes as expected","Observe ticket detail modal","Ticket detail modal displays:
- Full registration details for John Doe
- Unique QR code based on order code '12345'
- Order code displayed: '12345'
- Event information
- Registration date and time
- Close button (X) to dismiss modal
- QR code scannable for verification","","","","","cms, ticket-details, qr-code","CMS - Event Registration Management"
"Revoke attendee ticket and free up capacity spot","Validate revoke attendee ticket and free up capacity spot","functional_web","high","ready","Admin views registration table; Event capacity: 50, current registrations: 45; Registered attendee exists","Open attendee ticket detail modal","Step completes as expected","Click 'Revoke Ticket' button","Step completes as expected","Confirm revocation","Step completes as expected","Observe result","Ticket revocation successful:
- Ticket becomes invalid immediately
- Attendee removed from registration list
- Registration count decreases to 44
- 1 spot becomes available (capacity shows 44/50)
- Ticket removed from user's 'My Tickets' screen in app
- Spot available for new registration or waitlist acceptance","","","cms, revoke-ticket, capacity-management","CMS - Event Registration Management"
"Accept waitlisted attendee and convert to registered","Validate accept waitlisted attendee and convert to registered","functional_web","high","ready","Admin views registration table filtered by 'Waitlisted'; Waitlisted user: 'Jane Smith'; Event capacity: 50, current registrations: 48 (2 spots available)","Filter by 'Waitlisted' status","Step completes as expected","Locate Jane Smith in waitlist","Step completes as expected","Click 'Accept' button","Step completes as expected","Confirm acceptance","Step completes as expected","Observe update","Waitlist acceptance successful:
- Jane Smith's status changes from Waitlisted → Registered
- Valid ticket QR code generated for Jane Smith
- Registration count increases to 49
- User sees 'You're In / Ticket Ready' notification in app
- Ticket appears in user's 'My Tickets' screen
- Temporary waitlist entry erased, full registration record created
- User can view QR code and event details","cms, accept-waitlist, status-conversion","CMS - Event Registration Management"
"Accept waitlisted user when event at full capacity","Validate accept waitlisted user when event at full capacity","functional_web","high","ready","Admin views waitlist; Event capacity: 50, current registrations: 50 (FULL); Waitlisted user exists","Verify event is at full capacity (50/50)","Step completes as expected","Filter by 'Waitlisted'","Step completes as expected","Click 'Accept' on waitlisted user","Step completes as expected","Confirm acceptance","Step completes as expected","Check capacity override","System overrides capacity limitation:
- Waitlisted user accepted even though event was full
- Registration count increases to 51 (exceeds original capacity)
- System allows manual capacity override by admin
- Valid ticket generated
- User converted to Registered status
- Capacity now shows 51/50 in CMS","cms, capacity-override, waitlist-acceptance","CMS - Event Registration Management"
"Search attendees by name in registration table","Validate search attendees by name in registration table","functional_web","medium","ready","Admin views registration table; Multiple registrations exist including 'John Doe', 'Jane Smith', 'Bob Johnson'","Locate search bar in registration table","Step completes as expected","Type 'Jane' in search","Step completes as expected","Observe filtering","Step completes as expected","Clear and search 'DOE' (uppercase)","Step completes as expected","Verify case-insensitive","Search functions correctly:
- Real-time filtering by registrant name
- Case-insensitive search
- Typing 'Jane' shows 'Jane Smith'
- Typing 'DOE' shows 'John Doe'
- Empty result shows appropriate message","cms, search, attendee-search","CMS - Event Registration Management"
"Export event registrations as CSV","Validate export event registrations as csv","functional_web","high","ready","Admin views registration table for 'Jakarta Networking Night'; 45 registered attendees; Current date: December 19, 2024","Navigate to registration table","Step completes as expected","Click 'Export Registrations' button","Step completes as expected","Download CSV file","Step completes as expected","Open file to verify content","CSV export successful:
- File downloaded with name: 'jakarta_networking_night_registrations_20241219.csv'
- CSV contains all attendee data from table
- Columns: No, Order Code, Date Registered, Account ID, Name, Number, Email
- All 45 registrations present in export
- Data properly formatted for spreadsheet viewing
- Can be used for event check-in or communications","","","cms, export-csv, registration-export","CMS - Event Registration Management"
"Verify inline validation errors prevent invalid event updates","Validate inline validation errors prevent invalid event updates","functional_web","high","ready","Admin is editing event details","Clear Event Name field (make it empty)","Step completes as expected","Enter invalid Time format: '25:00 - 26:00'","Step completes as expected","Enter Max Registrations: '0'","Step completes as expected","Attempt to click 'Update Event' button","Step completes as expected","Observe validation","Multiple validation errors shown:
- Event Name field highlighted: 'Event name is required'
- Time field highlighted: 'Invalid time format (must be HH:MM)'
- Max Registrations highlighted: 'Must be greater than 0'
- All invalid fields shown inline with red highlight
- 'Update Event' button disabled
- Cannot save until all errors resolved","cms, validation, negative, inline-errors","CMS - Event Registration Management"
